Dupont,Jean,1985,123-456-7890,jean.dupont@email.com
Martin,Sophie,1990,987-654-3210,sophie.m@email.com
Dubois,Pierre,1988,555-123-4567,pierre.dubois@email.com
Leroux,Marie,1982,789-012-3456,marie.l@email.com
Moreau,François,1995,321-987-6543,francois.moreau@email.com
Lefevre,Isabelle,1987,234-567-8901,isabelle.l@email.com
Lambert,Thomas,1992,876-543-2109,thomas.lambert@email.com
Roux,Laura,1980,456-789-0123,laura.roux@email.com
Gauthier,Nicolas,1989,890-123-4567,nicolas.g@email.com
Simon,Camille,1998,654-321-0987,camille.s@email.com
Petit,Olivier,1984,234-567-8901,olivier.petit@email.com
Bertrand,Emilie,1991,789-012-3456,emilie.b@email.com
Marchand,Lucas,1986,123-456-7890,lucas.m@email.com
Michel,Chloé,1993,987-654-3210,chloe.michel@email.com
Morel,Antoine,1981,555-123-4567,antoine.morel@email.com
Girard,Emma,1996,789-012-3456,emma.g@email.com
Caron,Mathieu,1983,321-987-6543,mathieu.caron@email.com
Roy,Léa,1988,234-567-8901,lea.roy@email.com
Lopez,Baptiste,1994,876-543-2109,baptiste.lopez@email.com
Faure,Manon,1980,456-789-0123,manon.faure@email.com
